Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4,X-Printer 5,Y-Printer 5
250973.021043,133.604254731,12.0290848225,309.722689482,146.881299731,487.971695137,246.505443231,450.630950099,550.147254498,424.202952984,697.957751747
214717.289105,363.438752884,82.3949107718,371.650054555,198.394413631,633.616186148,413.205601694,459.854302064,672.550187155,150.484354542,945.014983739
190890.263681,328.083301283,282.165072226,455.549840777,142.890002148,613.486437277,365.772146118,337.853856976,648.409496937,589.00307575,751.34325155
276656.31681,257.100618199,108.625772011,71.3603685218,272.601146229,378.602248589,374.636290902,713.776316928,138.082119891,35.2422048569,862.199482472
206124.696656,491.711278115,300.396044255,136.42219218,568.098978365,459.798234886,670.119450143,278.395493537,859.790245074,372.132588012,977.521047672
308601.478101,45.9436137248,82.4216754889,168.041426697,273.016708409,643.97129795,55.3144641777,671.078500124,135.528013177,571.915853822,784.367511787
247346.54352,286.025974042,88.6833129463,294.575700089,214.007713393,177.605081145,565.037555731,380.799412757,480.87528281,524.620707785,393.608109309
221377.868865,229.135057913,280.130622842,202.638494005,566.738948741,692.369270502,5.10825508191,409.778577457,629.966906176,734.329167533,410.829395518
283836.626649,132.381625047,472.52470713,75.1776178242,520.004586848,164.952165791,560.895071953,673.766667443,521.012844206,739.841547709,755.728953977
289756.571999,169.312099489,403.728827854,216.053594256,529.689108875,7.44855836623,823.821379014,693.556462794,619.851057468,377.861765855,925.187395216
427516.869231,291.852411751,97.3881155595,26.9935499049,317.880847302,355.970684109,42.9740039167,392.670721062,224.368149947,720.999812289,24.0560851731
230090.357954,66.2196633641,487.362037778,534.131485678,243.178678262,598.486059178,79.8968672963,438.202533165,650.210036511,752.906664745,677.411448545
